"","Jahr","Mittelwert","Median","Gini","P80/P20","Top10%","P90/P10"
"1",2004,29048.1481143779,23429.849765029,0.400822930968312,9.27620370347033,0.254511344987308,21.4613714149925
"2",2005,29878.8332509675,24515.8979901998,0.388636863000604,8.40125650327723,0.263956966410752,18.2314026970111
"3",2006,30861.0870234879,24889.7743440639,0.402442918225724,9.3654419811248,0.291790959293577,20.9277562159001
"4",2007,31691.3147766455,25705.4845003247,0.408766868262007,10.4586664624056,0.326465633474372,25.4005783730751
"5",2008,31714.6416021975,25698.5155334356,0.395792409610035,9.11631172671528,0.304064544157047,20.0843680023047
"6",2009,32678.6464157473,26986.8475610101,0.3798550441822,8.12721847265586,0.317329174949108,17.6792327307326
"7",2010,32502.3400254512,26931.2544360942,0.385140212988976,8.22296088678186,0.298846913563573,17.3831969436241
"8",2011,30502.0706023929,25295.1764303424,0.38391389398321,8.59419874312583,0.287226334439023,18.0332031162408
"9",2012,28933.0788271378,23860.9776202349,0.380979748196464,8.40010928760932,0.254400909270061,18.006578664183
"10",2013,29429.8589697498,23930.6435124769,0.398340150024039,8.99006524379447,0.27495829286008,19.9415936636019
"11",2014,29973.4258488082,24220.373185921,0.392869227549629,8.49671856123233,0.283001750529212,19.173904674593
"12",2015,31157.5751260673,25358.2783096495,0.384228515404325,8.01904089056558,0.295161894858185,16.7541632492504
"13",2016,32109.5265965795,25761.3841998822,0.386754054786266,8.08118761292195,0.297972525063536,17.0791674954497
