"","Jahr","10%","25%","Median","75%","90%","Mean"
"1",2004,0,6944.69489584914,21247.9597889198,35360.3453010788,52698.7807370753,25680.21163104
"2",2005,0,5531.23576652523,20154.3003638571,34790.1613423724,52787.1434698867,25026.120673175
"3",2006,0,6074.62602134396,20437.4608422068,36183.0437009432,53860.3299205325,25713.7136352745
"4",2007,0,6251.53213779442,20801.3892517421,37786.8464056569,57509.770837279,26512.1739725212
"5",2008,0,6164.60695436984,19628.1780323949,35013.0793129387,52660.4958535465,24809.0496608075
"6",2009,0,3142.29662126861,17696.6667790168,34095.5754062279,52896.2742711849,23148.3158256017
"7",2010,0,994.419975708957,14861.3523740253,33311.2016763175,53873.9911920785,22321.3129605955
"8",2011,0,981.719083578939,14228.9840284501,31876.5943272519,51144.7902839097,21386.5639265335
"9",2012,0,707.410798484652,13951.9042121922,31532.4356775664,50300.509588254,20572.7782907355
"10",2013,0,419.580372679389,14589.6606279857,32562.7542943106,51248.0657050408,21389.5132200887
"11",2014,0,1254.87286292196,15102.5611111111,32667.3,53996.372,22296.359301231
"12",2015,0,2301.08125,17460.24,35096.27,55274.9466666667,23752.0347876583
"13",2016,0,3177.72619387071,18884.5056004877,35943.5173922737,55093.2142241866,24812.177592859
