"","Jahr","10%","25%","Median","75%","90%","Mean"
"1",2004,4525.54626856852,12789.2255301617,22525.5077836445,34720.2108818686,50219.019315226,27274.5464100653
"2",2005,6254.66468971733,14235.7862933618,23789.1924460099,35955.8154141238,50814.0506581086,28502.4497565828
"3",2006,5465.36881167786,13848.5081735154,23964.6070074099,37069.7249996542,53635.7814952186,29315.4275528355
"4",2007,3928.93102368676,13192.0329959715,24524.8380063679,38936.4537388126,57252.3852234652,29778.5058364251
"5",2008,4865.41775095581,13728.3057356179,24583.0008200258,38635.0879038702,56073.6015855728,29698.2211376663
"6",2009,6501.23511240968,15576.7211538005,26188.2958171284,39819.0918182872,58124.7315685321,31033.3084629999
"7",2010,6105.58186457377,14519.9189286849,25514.2913927011,38524.9466309083,55440.038453874,30402.1963167513
"8",2011,5612.79178907119,13892.5943460142,24378.5011613563,38321.3431237042,55613.0869428435,28848.6830944296
"9",2012,5256.10597460999,13574.0106136525,23094.6587073905,36025.0788392077,51485.1065742691,27280.1799274226
"10",2013,4623.91488938632,12594.4801423596,22762.9817703656,35325.7485449029,51412.7140989168,27345.4994083408
"11",2014,5005.03772982593,13644.5554358512,23217.1235482498,35369.3779966106,52735.8317900069,27995.4537017125
"12",2015,6670.78521475096,14574.3441308929,24595.5567266525,37105.0139782186,55553.3193397904,29571.9308391395
"13",2016,6370.64124251946,14980.5777255114,25053.6662611264,39046.3317218121,55620.8041248434,30176.1211566827
