"","Jahr","10%","25%","Median","75%","90%","Mean"
"1",2004,10884.3797432203,15375.9462486002,21979.1020967442,29947.0164773636,39689.6603210153,25023.8504351655
"2",2005,11025.7132425807,15662.0892661555,22267.1360767746,30291.7169481616,40792.2599488865,25769.6342947844
"3",2006,11753.8703213411,16043.2391638578,22788.7922635438,31912.6574172892,43480.3698920695,26801.1582642871
"4",2007,12808.218731476,17246.1523953225,24596.4576133607,34863.3002371073,47332.2337482711,28672.9147965071
"5",2008,12881.4575828446,17552.9556545741,24744.2672343905,34084.9392151716,45734.5824359895,28386.4050436157
"6",2009,13731.4444085674,18121.3235161209,25054.054192229,34635.2957029829,45023.7237051242,28290.9465790324
"7",2010,12691.6529631454,16952.7826643211,23361.9958419958,32902.9721511196,44618.2133748018,27287.0477789471
"8",2011,12012.310405762,16595.3358756233,22720.5395847593,31473.0621149897,42325.3037303217,25821.842327289
"9",2012,11544.333883676,15741.7514025245,21144.6248559908,29342.2419354839,39108.9940042822,24321.1688237781
"10",2013,11641.7452357071,15354.8186225343,21298.1607066403,29917.5431995724,40414.982447342,24622.4458664971
"11",2014,11407.4210377463,15576.358,21400.4567909573,30237.3,41624.6666666667,24972.2720826295
"12",2015,12491.2214285714,16747.369429433,23559.7928571429,33003.192,44107.0777777778,26904.9790747328
"13",2016,13280.6405915279,17773.34001336,24323.3266533066,32851.6646130051,44279.7595190381,27698.1855622866
