"","Jahr","10%","25%","Median","75%","90%","Mean"
"1",2004,9866.9465591739,14140.5731190859,22144.7137357005,31484.2328474924,42835.3712116328,25505.388072879
"2",2005,9920.10178466829,14371.7804966803,21900.1133146213,31464.7474836973,42612.4357003545,25572.6649122667
"3",2006,10569.7129976702,14560.8234295912,21856.7538456597,31864.7825883919,44199.5772514264,26127.2803947673
"4",2007,11361.6676466006,15510.1142120209,23058.1613854543,34215.7800098139,46895.7361271328,27464.1148429591
"5",2008,10712.9550600574,15455.3823640981,22599.6089505596,32630.9893569306,44074.7744465327,26345.5579764192
"6",2009,11164.0589387799,15646.6684230996,22821.4098022898,32563.1688559349,43554.8548006349,26040.8521054268
"7",2010,10571.8622421484,14698.8307349894,21291.9780487348,30810.223373314,42955.35158255,25154.7793361267
"8",2011,9822.48558563475,14104.4712139164,20177.1250518768,29464.4626526112,41020.4326872399,23574.5562551153
"9",2012,9088.66648973551,13218.6524453694,18814.5690287231,27153.7217091571,37254.2334644901,21834.4145529269
"10",2013,9471.1743491591,13204.5704765524,18553.0289743632,27110.8209281807,37813.4513195437,21977.6733924381
"11",2014,9383.82241233888,13310.84,18833.1086307487,27172.4373813275,38403.3458333333,22354.5156042069
"12",2015,10085.2148566112,14395.46,20957.7461538462,30336.2428571429,41152.9555555555,24262.1538551712
"13",2016,10429.3901286684,14826.8086416176,21750.7911614813,30635.8140156948,41535.0868855036,25005.6048063054
