"","Jahr","10%","25%","Median","75%","90%","Mean"
"1",2004,0,5015.99475326949,17723.6615771451,35437.5428391685,57231.5186936117,25810.4224720776
"2",2005,0,5338.65236330263,17921.4753420485,35642.835250616,56739.6498342557,25654.0916534749
"3",2006,0,5943.26223363239,17829.7867008972,36150.3896125206,58723.5859128671,26430.9873242437
"4",2007,0,6952.34208642989,18485.2398217382,37901.1939193415,61621.0740976948,27595.3540444877
"5",2008,0,5843.43456141861,17940.050558173,35352.6426100351,57158.754334999,25814.358576521
"6",2009,0,3813.23633875506,17291.9745227392,34452.2832196502,58694.5222533782,25283.5610059606
"7",2010,0,3241.68723337122,15609.2415606932,35107.4703477398,58786.9319957571,25446.4936469691
"8",2011,0,3850.20807947076,14859.6442754059,33866.0953683369,58515.8331241503,24219.0441580872
"9",2012,0,4213.24299315246,14819.1097020992,33204.973161998,55541.3933233387,23304.5742589687
"10",2013,0,4115.39125352501,14818.1029297354,32992.7498158183,55579.1821973184,24004.1309585322
"11",2014,0,4704.38730912716,16385.9491548424,34200.1086582296,56788.1566980294,24745.6387133366
"12",2015,0,6351.16368957581,17427.0740922186,35851.3468241748,58529.3571449882,25887.8843268299
"13",2016,0,7288.39600518272,18077.8778402677,36461.5392275487,59227.0484507933,26937.0207698541
