"","Jahr","10%","25%","Median","75%","90%","Mean"
"1",2004,7384.82555446413,15117.5811870101,26088.0389765596,40902.5755879059,60331.3337550112,33009.6691344326
"2",2005,7886.08981380066,15860.0366026589,27075.5750273823,41834.5808018393,60850.7606009663,33618.2606911048
"3",2006,7796.37139807897,15212.3816027731,27290.8248377532,43222.0624368743,65438.6115479559,34767.9741218858
"4",2007,6131.96110382443,13916.094349564,27113.943450027,44340.7583189455,68641.3328910768,34967.2278965515
"5",2008,6343.14901438615,14492.701500826,26884.7881008729,43314.2699798479,66321.2662534171,34597.228275046
"6",2009,8511.35049919862,16102.3339764373,27788.5250073191,45743.1337647188,68272.7796652626,35885.9250665238
"7",2010,8521.73013941957,15794.2706219306,28686.7336347376,46189.4472712211,70214.1932864757,36916.182822614
"8",2011,8019.77235139845,14861.4794876266,26990.7103921906,47279.833857613,69544.5124349439,35614.2809883674
"9",2012,8536.56257999396,15706.5723958247,27349.5161290323,45442.0098430096,68015.8612496634,35013.524110867
"10",2013,8555.4324324061,16156.4459810847,28067.0511971409,46223.5614292514,68805.0957528489,36427.5589200884
"11",2014,9804.6,16720.2133819483,28694.1009155407,46442.6375353259,70223.8976766965,37052.8966640021
"12",2015,9997.38208033265,16759.948608291,28805.6457384349,46994.1298607449,70312.4819816561,37384.5589322074
"13",2016,10404.8041203852,17437.2347174098,29631.5376417335,47931.3278637665,70593.8958821063,38493.0773145841
