"","Jahr","10%","25%","Median","75%","90%","Mean"
"1",2004,2463.60582306831,10799.2259010184,23727.7826245325,38960.6994830402,57513.7994188769,29799.908138098
"2",2005,3510.93888574051,11764.9576338262,24658.2080299219,39430.4490690033,59375.1724360661,30815.7640121936
"3",2006,3201.7075773746,10709.3062966916,25059.765208111,41181.0957391752,62927.0748538692,31578.8649842837
"4",2007,2609.3101659751,8119.29460580913,23376.320481863,41575.2966292252,64977.0482183858,30927.7053729435
"5",2008,2176.11057746769,8861.91533357254,23330.0470952324,40499.8343010988,62558.2646813235,30338.3096097015
"6",2009,2289.15473329328,10815.1315526372,24097.1983933044,41387.6563885102,64399.4430230936,31126.2046628956
"7",2010,1558.53062086169,9350.74567711399,23980.7972744035,42627.6031471821,67044.5893900932,31329.8630642859
"8",2011,1951.65717371429,9227.21457741892,22514.4470024157,42932.2246927835,66632.333927747,30598.3938858549
"9",2012,2005.15948083658,9663.24127704601,23218.3075733086,42266.3057586639,64925.6943053049,30082.5847488392
"10",2013,1731.95252536354,9587.04846782751,23379.5709923219,42701.6226604018,65671.7429277232,31526.7947927586
"11",2014,2103.87376374676,10464.3431514739,24140.7687756378,43302.8715653248,65678.3341141462,32302.7522808537
"12",2015,2400,11321.11,24532.8471356632,43915.6734154469,66647.3993156542,32948.2699599461
"13",2016,2716.40074794313,11381.8481602384,25453.9815842757,44946.3109939302,67430.5726909392,33742.7795174342
