"","Jahr","10%","25%","Median","75%","90%","Mean"
"1",2004,5216.52193943642,12206.6489518452,23856.9029794233,37621.1731689745,54683.0004923049,28865.0195664118
"2",2005,4451.68735912988,11603.1186380492,22635.7222541102,36746.3624144235,54236.2655510327,28193.3894901696
"3",2006,5374.66343206637,11909.6116020112,23015.5327151918,37941.3092413665,56280.7798453021,28875.3964644336
"4",2007,5468.72501949248,12579.1318002216,23079.1091423226,39818.4562222064,60624.2090787004,29987.0732245396
"5",2008,5366.5170723987,12132.4478338089,22815.639335707,36860.9439155577,55470.3837445182,28382.9380290026
"6",2009,2658.94533941927,11444.8333688802,22051.2585303727,37625.4827286418,55432.018527726,27560.7217051451
"7",2010,3096.05329467803,10914.4547554111,20688.1597733989,36673.6319522753,56821.7725339181,27638.1799505789
"8",2011,3938.60194930318,10281.9586601581,20088.8564694374,35705.3262769493,54583.7822437423,26474.1247971921
"9",2012,3522.80610475199,10156.4600810112,19511.1525265542,34523.906304197,53575.6752948318,25548.1460839508
"10",2013,3555.34466355238,10351.794002071,19721.8405029751,35104.2789660549,55124.7523915779,26266.0812144576
"11",2014,3781.43103448276,10510.6451612903,20117.1428571429,35810.3166666667,56443.82,26978.5236236037
"12",2015,5104.15,11702.6064516129,22291.0457142857,37861.1223603135,57259.1939975347,28446.3963124334
"13",2016,5812.03397868793,12480.6284323485,23156.5048218395,38447.3857534709,57196.1654007509,29508.365493399
