"","Jahr","10%","25%","Median","75%","90%","Mean"
"1",2004,3844.59326440995,12391.0626389893,24716.8421052632,39597.5318923034,58230.6830907055,30982.172999396
"2",2005,4522.92415755963,13145.0164293538,25718.5104052574,40525.73932092,60057.2975918371,31792.2339558954
"3",2006,4455.06937033084,12357.172920373,25908.9021034516,42270.7824531099,63533.230853982,32706.2045568057
"4",2007,3178.33533459839,10058.2252446295,24822.8546024454,42509.6585382283,66876.7974750729,32232.9577987276
"5",2008,2873.14872642587,10488.4422110553,24387.6664855893,41806.9736459908,63810.6881788696,31719.2143573215
"6",2009,3374.23312883436,12133.1427845335,24837.1110950564,42908.6592581177,64903.1636129373,32255.0778892252
"7",2010,2677.5339469787,11058.8884680355,25318.5706957135,44021.4934343794,67728.4203823535,32750.2883849603
"8",2011,2969.21200696918,10417.4386366134,23592.7904685678,44494.8571078222,67593.146857054,31737.0427974014
"9",2012,2822.58064516129,10853.3134898555,24667.1417217115,43158.688551797,65949.6008837765,31222.0677198881
"10",2013,2668.00401203611,11033.0992978937,24715.9696722499,43901.6340883066,66876.130643096,32925.4562660096
"11",2014,3254.12853552434,12000,25599.2353301219,44804.1335742553,67337.5077331847,33719.7847902961
"12",2015,3180.30350359467,12000,25724.5953959665,44992.5752343003,67877.2551884736,33985.507914947
"13",2016,3509.00985266793,12542.0296313545,26615.0355400039,45927.735812839,68548.2133883356,34907.8967502469
