"","Jahr","10%","25%","Median","75%","90%","Mean"
"1",2004,5258.90257558791,13437.849944009,24845.9245817632,39915.3100666419,58678.6114221724,31735.8934258969
"2",2005,6467.43962823589,14399.1091438398,26286.9660460022,41083.5612512181,60356.5825276741,32585.7163415829
"3",2006,5906.33302701485,13612.6037207979,26483.1832127651,42512.2548123664,64034.151547492,33566.554765183
"4",2007,4395.57368928568,12448.132780083,25882.7405402557,43347.2342011023,67243.9315352697,33535.141194649
"5",2008,4645.89548398342,12711.9060358405,25739.714359595,42256.1627389271,64789.7813179911,33078.6117539098
"6",2009,6134.96932515337,14814.0625884139,26913.419370648,44888.0786923113,66461.2067844826,34626.7693305389
"7",2010,5729.41106397124,13714.4699361137,27101.2694785274,45279.4298553257,69264.8857199294,35300.6615637727
"8",2011,6160.16427104723,13871.1173710365,25823.8387024037,46462.3454776889,68544.669331307,34332.7833814635
"9",2012,6451.34695275883,14225.0986612483,26286.0603247871,44290.8005671631,66986.1840895054,33726.5983935799
"10",2013,6533.67001317873,14278.7822554832,26876.4659326649,44735.1627239147,67877.2369038955,34867.4298040185
"11",2014,7416.95364513619,15205.4683956028,27023.8493189929,45252.4005907786,67844.7793239084,35499.1550185455
"12",2015,8607.49240788441,15654,27757.2217322315,45934.6480332541,68924.4079430331,36228.3636102899
"13",2016,8319.86909515094,16012.7706062843,28548.5994649676,46948.081492422,69512.4523159087,37188.3077255498
