"","Jahr","10%","25%","Median","75%","90%","Mean"
"1",2004,8334.26651735722,14930.9443822322,24465.9316047894,36434.6696528555,51828.2973324835,29293.4944396565
"2",2005,8039.73596366377,14601.052260992,24227.9116465863,36706.30538376,53121.5772179628,29475.7617501953
"3",2006,8259.42216801342,14893.4852211034,24707.545357524,38449.6150327794,56558.249733191,30652.8433108373
"4",2007,8342.04356846473,15112.8198478562,26238.3354261106,41768.4350918791,60236.755334914,32216.1898832183
"5",2008,8545.40703517588,15514.1541038526,26104.1155778894,40319.3005025126,58299.3676716918,31654.5617874341
"6",2009,9073.50850036757,15410.9991235758,26468.3951699289,40665.8774307492,58055.6973415133,31511.6019017185
"7",2010,8780.78672705363,14493.1153046538,25114.3473977542,40512.6957726958,61670.4490644491,31858.4156087463
"8",2011,8300.78835435612,13932.0784850559,24891.4002242878,39508.2238193018,58835.9944623964,30826.6154881572
"9",2012,8707.80086848635,14656.539928609,25058.6133512545,39495.4421082949,59085.9408602151,30253.202937162
"10",2013,9093.74791039786,14754.5096828948,25018.5479927445,40416.7293547309,60462.5727181545,31396.0554655858
"11",2014,8618.66666666667,14827.6066666667,25553.52,40927.4574375952,62311.2,31891.8283377061
"12",2015,9315.94076126742,15966.1219227933,27237.1066666667,42913.972,63433.655,33156.2860378842
"13",2016,10149.885751784,16523.7048127811,27603.1823083204,42514.1875710992,62734.9653004816,34228.2613884579
