"","Jahr","10%","25%","Median","75%","90%","Mean"
"1",2004,0,8566.65245040065,17494.1741507044,31784.8002690808,48941.9958499517,23222.6866047428
"2",2005,571.925044458534,9325.97226503419,18132.9923986852,31939.1350013289,47963.5240889725,23654.0597581598
"3",2006,695.101521617176,9500.76067146583,18327.2114776765,32774.9815017326,49521.6333454477,24288.3556437984
"4",2007,1457.34300501253,10323.4377996019,19645.9600488551,34743.6055265428,53491.1652958236,25691.664550859
"5",2008,1436.12565102351,10219.5720719869,19421.8852596367,33179.6766310755,49774.6526973987,24499.197307294
"6",2009,808.857242521523,10731.1972984165,19345.1817785915,33123.3419293799,50836.7719034099,24438.3334891822
"7",2010,606.633809278489,9869.84653727399,18458.5451556401,32716.7506627771,48604.6804627355,23784.3522966466
"8",2011,750.417494738263,8857.06961833667,16911.4679125212,30413.3622195462,47341.0037142143,22090.520354781
"9",2012,481.134018383628,7974.71540429749,15640.9129341852,28380.9710835251,43645.5559687098,20443.9012330807
"10",2013,472.832740951038,8144.38418597182,15403.6285450277,28028.5696046789,43062.4691994278,20594.7136379465
"11",2014,314.728429290051,8170.99777712112,16292.9965651251,28147.5738228857,43832.5706178359,21046.7676443571
"12",2015,681.178391049816,9760.06469744445,17463.1664109878,30572.8543339393,47104.9864092753,22599.0702309244
"13",2016,966.976036240818,10002.4820129887,18004.9344148079,31564.9376601059,48068.5388490167,23372.3855286319
