"","Jahr","10%","25%","Median","75%","90%","Mean"
"1",2004,3433.22178511809,11065.2189366174,22072.14,35360.595979827,52000,27667.0804884606
"2",2005,4129.42975585194,12001.4,23481,37000,54832.3127013473,29026.3096017325
"3",2006,4174.4,11578.6710263895,24276.6412709341,39607.723158564,59530.6373101812,30645.713669727
"4",2007,3063.91526255285,9696.12913582282,23929.2318367574,40979.310830852,64469.2327659702,31072.5713179734
"5",2008,2858.78298279374,10436,24265.7281531613,41597.9387777609,63491.6347379753,31560.6182855349
"6",2009,3300,11866.2136432737,24290.6946509651,41964.6687544391,63475.2940134526,31545.4661756623
"7",2010,2575.78765699351,10638.6507062502,24356.4650092764,42348.676683873,65154.7404078241,31505.7774263318
"8",2011,2892.01249478798,10146.5852320614,22979.3779163851,43337.9908230189,65835.7250387706,30911.879684669
"9",2012,2800,10766.4869819367,24469.8045879378,42813.4190433826,65422.0040767063,30972.291178129
"10",2013,2660,11000,24641.8217632332,43769.9291860417,66675.5022511667,32826.6798972116
"11",2014,3254.12853552434,12000,25599.2353301219,44804.1335742553,67337.5077331847,33719.7847902961
"12",2015,3180.30350359467,12000,25724.5953959665,44992.5752343003,67877.2551884736,33985.507914947
"13",2016,3501.99183296259,12516.9455720917,26561.8054689238,45835.8803412133,68411.1169615589,34838.0809567464
