"","Year","10th","25th","Median","75th","90th","Mean","10th_ch","25th_ch","Median_ch","75th_ch","90th_ch","Mean_ch"
"1",2004,5000,11300,20399.1466666667,31113.0305062135,44444.4444444444,24283.0449963035,1,1,1,1,1,1
"2",2005,4717.54545454545,11641.1124558396,20518.78,32027.7055555556,46729.936,25128.3570259692,0.943509090909091,1.03018694299466,1.00586462440259,1.02939845571004,1.05142356,1.0348107920483
"3",2006,5031.64285714286,11783.9833333333,21798.195,34706.4895952196,50358.7975182308,26778.6139915838,1.00632857142857,1.04283038348083,1.06858366951297,1.11549691658254,1.13307294416019,1.10277001898486
"4",2007,4333.33333333333,11712.5826086957,22655.9964285714,38210.845,56488.8346366556,28493.5213935832,0.866666666666667,1.0365117352828,1.11063451813857,1.22812996285813,1.27099877932475,1.17339161533987
"5",2008,5013.83214285714,11362.6034482759,23303.9095238095,38138.6743778073,55300.5484848485,28740.3302037748,1.00276642857143,1.00554012816601,1.14239629258068,1.2258103359681,1.24426234090909,1.18355544817999
"6",2009,4655.06956521739,10936.3832835262,22734.6222222222,37585.1809523809,54268.6722222222,27422.2544678285,0.931013913043478,0.967821529515589,1.11448888493811,1.20802057340171,1.221045125,1.12927577542285
"7",2010,3488.24306544841,9757.81875,21290,35138.2761904762,54259.2940840024,26682.0064026302,0.697648613089682,0.863523783185841,1.04367110781105,1.12937491522913,1.22083411689005,1.09879162216649
"8",2011,3502.06896551724,8847.88,20540,36109.7833333333,54504.2893029065,26152.3601542349,0.700413793103448,0.782998230088496,1.00690486399431,1.16060000410831,1.2263465093154,1.07698026166883
"9",2012,3606.07472115375,9600,21224.6713946474,36211.0404568614,54559.8984038015,26141.8603106995,0.72121494423075,0.849557522123894,1.04046859123424,1.16385449657917,1.22759771408553,1.07654786764506
"10",2013,3159.83736750416,9639.13043478261,21685.08,37529.1571428571,57434.4733333333,27561.5748734937,0.631967473500831,0.853020392458638,1.06303858462053,1.20621991918667,1.29227565,1.13501312861255
"11",2014,3840.83333333333,10040.4,22222.2222222222,38587.0783362398,58899.7117772005,28443.8029712202,0.768166666666667,0.888530973451327,1.08937018716251,1.24022243119434,1.32524351498701,1.17134416114413
"12",2015,4136.12073993361,11377.465,23898.468,40239.42,59027.6085714286,29654.1393954411,0.827224147986722,1.00685530973451,1.17154253511258,1.29333013677224,1.32812119285714,1.22118702164227
"13",2016,4951.20524754337,11901.0333333333,24523.1958333333,40512.4018446695,59218.7266666667,30633.8783288661,0.990241049508673,1.05318879056047,1.20216772956516,1.3021040119052,1.33242135,1.2615336475936
