"","Jahr","10%","25%","Median","75%","90%","Mean"
"1",2004,0,5538.04,16944.1642857143,28198.072,42024.59,20478.6590849612
"2",2005,0,4610.66666666667,16800,29000,44001.72639505,20860.9983834178
"3",2006,0,5333.33333333333,17943.4570581715,31767.5906950734,47287.7,22575.8434466483
"4",2007,0,5809.52380952381,19330.647826087,35115.1652173913,53443.6,24637.6572239681
"5",2008,0,6103.115,19432.3869565217,34663.8238467921,52135.2074074074,24561.5793904409
"6",2009,0,3005.55644149748,16926.5786274611,32611.8723468504,50594.44,22140.9937141348
"7",2010,0,920.28,13753.3493864274,30827.6517241379,49857.3619047619,20657.1251515054
"8",2011,0,931.333333333333,13498.6956521739,30240.56,48519.8350673784,20288.9199195681
"9",2012,0,696.1375,13729.5666666667,31029.9347826087,49498.9206674556,20244.9304958943
"10",2013,0,417.066666666667,14502.2539711634,32367.6708333333,50941.0385434019,21261.3686463872
"11",2014,0,1254.87286292196,15102.5611111111,32667.3,53996.372,22296.359301231
"12",2015,0,2301.08125,17460.24,35096.27,55274.9466666667,23752.0347876583
"13",2016,0,3165.028,18809.0431161081,35799.8870967742,54873.0617401467,24713.0281311979
