"","Year","10th","25th","Median","75th","90th","Mean","10th_ch","25th_ch","Median_ch","75th_ch","90th_ch","Mean_ch"
"1",2004,6766.526647281,12819.6916322355,20922.8558401709,31871.9557904684,45480.2260404214,25939.9962661395,1,1,1,1,1,1
"2",2005,7649.55136753351,13941.9621115619,22383.0148650524,33324.9173145934,47241.2723117918,27279.3747581334,1.13049896442916,1.08754270473281,1.06978774962824,1.04558746045197,1.03872114157492,1.05163371953689
"3",2006,7435.27818244837,14117.6658153385,23321.7185603879,35425.145449823,50943.9704799346,28916.8385410081,1.0988323212229,1.10124847151855,1.11465273854305,1.11148326393002,1.12013450493094,1.11475877807872
"4",2007,6969.57339700396,14456.3631393169,24780.087058313,38595.4432995904,55966.2602542337,30550.4274446863,1.03000752975746,1.12766855506617,1.18435491061102,1.21095308845568,1.23056249114709,1.17773445806409
"5",2008,8194.12332605423,15633.4324459806,25570.0229557684,39325.7613449963,56294.3487779182,31556.0683941865,1.21097924432868,1.21948584212977,1.22210959876114,1.23386721553991,1.23777636302611,1.21650242623118
"6",2009,9268.51214388749,16393.3847607973,26393.1369146679,39773.95590193,57390.1951010991,31959.7161946009,1.36975920247234,1.27876591973364,1.2614500198388,1.2479295642668,1.26187136911089,1.23206325346774
"7",2010,9135.09743283602,15890.9552055383,25907.8667675226,37929.043008658,54376.0218273605,31267.251104484,1.35004233471936,1.23957390406958,1.23825671626436,1.19004441578703,1.19559700031026,1.20536837336782
"8",2011,7981.59466668003,14943.1288484303,24637.5018431535,37799.644202299,54748.6084041551,29709.0167667307,1.17957041813872,1.16563871246757,1.17754010405456,1.18598445764673,1.20378927658575,1.14529765008143
"9",2012,8000.47876653117,14615.705359624,23670.089799273,36262.7646620438,52386.6392074,28701.6141965207,1.18236122956022,1.1400980443923,1.13130301045365,1.13776402365896,1.15185529554845,1.10646177054335
"10",2013,8068.16357332144,14250.8696191919,23858.8515819395,36365.4999303411,52559.0209156383,29341.5693928405,1.19236411735162,1.11163903376254,1.14032480863017,1.14098739874685,1.15564555173771,1.13113236763034
"11",2014,8477.25661360475,15084.0396010362,24220.373185921,36274.2021268072,53857.7161385498,29973.4258488082,1.25282246793651,1.17663045522148,1.15760359727849,1.13812288035538,1.18420071374937,1.15549075417307
"12",2015,9550.04360098456,15921.9577818497,25358.2783096495,37802.9153733297,56451.0861995977,31157.5751260673,1.41136569746933,1.24199225992406,1.2119893432981,1.18608709242233,1.24122263925042,1.20114030882643
"13",2016,9707.33435156845,16123.6018808064,25709.8614314824,39860.9284461362,56491.7225723559,32045.3075433863,1.43461111698557,1.25772150714321,1.22879312594224,1.25065837528731,1.24211613465043,1.23536284333303
